#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
1.241 0.0500 9.67e-10 8.27e-10 1242.18 320.86 44.83 -0.4 2670902 0.00e+00 1.94e-16 8.03e+00 4.63e-10 -6.95e-06 3.01e-03
1.268 0.0512 9.32e-10 7.97e-10 1224.97 315.11 44.30 -0.4 2642545 0.00e+00 1.91e-16 8.00e+00 4.58e-10 -6.88e-06 2.90e-03
1.295 0.0524 8.98e-10 7.69e-10 1208.22 309.41 43.78 -0.4 2614490 0.00e+00 1.89e-16 7.99e+00 4.56e-10 -6.83e-06 2.80e-03
1.323 0.0536 8.66e-10 7.41e-10 1191.44 303.88 43.28 -0.4 2586732 0.00e+00 1.87e-16 8.03e+00 4.56e-10 -6.84e-06 2.70e-03
1.352 0.0549 8.34e-10 7.14e-10 1174.82 298.47 42.78 -0.4 2559269 0.00e+00 1.87e-16 8.10e+00 4.59e-10 -6.89e-06 2.62e-03
1.381 0.0562 8.03e-10 6.87e-10 1157.21 293.46 42.30 -0.4 2532098 0.00e+00 1.88e-16 8.22e+00 4.67e-10 -7.01e-06 2.54e-03
1.411 0.0576 7.70e-10 6.59e-10 1137.84 289.05 41.81 -0.4 2505215 0.00e+00 1.90e-16 8.42e+00 4.84e-10 -7.26e-06 2.48e-03
1.441 0.0590 7.39e-10 6.32e-10 1118.69 284.74 41.34 -0.4 2478618 0.00e+00 1.93e-16 8.65e+00 5.02e-10 -7.53e-06 2.42e-03
1.472 0.0605 7.09e-10 6.06e-10 1099.82 280.49 40.88 -0.4 2452303 0.00e+00 1.97e-16 8.90e+00 5.22e-10 -7.84e-06 2.36e-03
1.504 0.0620 6.80e-10 5.82e-10 1081.16 276.34 40.43 -0.4 2426267 0.00e+00 2.01e-16 9.18e+00 5.45e-10 -8.18e-06 2.31e-03
1.537 0.0635 6.52e-10 5.58e-10 1062.48 272.34 39.99 -0.4 2400508 0.00e+00 2.06e-16 9.50e+00 5.71e-10 -8.57e-06 2.26e-03
1.570 0.0651 6.25e-10 5.35e-10 1043.99 268.43 39.56 -0.4 2375022 0.00e+00 2.12e-16 9.85e+00 6.00e-10 -9.00e-06 2.22e-03
1.604 0.0667 5.99e-10 5.12e-10 1025.76 264.59 39.13 -0.4 2349807 0.00e+00 2.18e-16 1.02e+01 6.32e-10 -9.48e-06 2.17e-03
1.638 0.0684 5.74e-10 4.91e-10 1007.69 260.85 38.72 -0.4 2324859 0.00e+00 2.25e-16 1.07e+01 6.67e-10 -1.00e-05 2.13e-03
1.673 0.0701 5.50e-10 4.70e-10 989.96 257.15 38.32 -0.4 2300177 0.00e+00 2.33e-16 1.11e+01 7.04e-10 -1.06e-05 2.10e-03
1.710 0.0718 5.30e-10 4.53e-10 975.86 252.64 37.94 -0.4 2275756 0.00e+00 2.37e-16 1.15e+01 7.30e-10 -1.09e-05 2.06e-03
1.746 0.0735 5.10e-10 4.36e-10 962.09 248.19 37.57 -0.4 2251595 0.00e+00 2.43e-16 1.19e+01 7.57e-10 -1.14e-05 2.02e-03
1.784 0.0752 4.91e-10 4.20e-10 948.35 243.85 37.21 -0.4 2227690 0.00e+00 2.49e-16 1.23e+01 7.88e-10 -1.18e-05 1.98e-03
1.823 0.0770 4.73e-10 4.05e-10 934.64 239.63 36.86 -0.4 2204039 0.00e+00 2.56e-16 1.28e+01 8.22e-10 -1.23e-05 1.95e-03
1.862 0.0788 4.56e-10 3.90e-10 921.48 235.39 36.52 -0.4 2180639 0.00e+00 2.63e-16 1.33e+01 8.57e-10 -1.29e-05 1.91e-03
1.902 0.0806 4.39e-10 3.76e-10 908.36 231.26 36.18 -0.4 2157488 0.00e+00 2.70e-16 1.39e+01 8.95e-10 -1.34e-05 1.88e-03
1.943 0.0825 4.23e-10 3.62e-10 895.33 227.23 35.86 -0.4 2134582 0.00e+00 2.79e-16 1.45e+01 9.37e-10 -1.41e-05 1.86e-03
1.985 0.0845 4.07e-10 3.48e-10 882.39 223.30 35.54 -0.4 2111920 0.00e+00 2.88e-16 1.51e+01 9.83e-10 -1.47e-05 1.83e-03
2.028 0.0864 3.92e-10 3.36e-10 869.91 219.37 35.23 -0.4 2089498 0.00e+00 2.97e-16 1.58e+01 1.03e-09 -1.55e-05 1.80e-03
2.072 0.0885 3.78e-10 3.23e-10 857.50 215.53 34.93 -0.4 2067314 0.00e+00 3.08e-16 1.65e+01 1.08e-09 -1.62e-05 1.78e-03
2.116 0.0905 3.64e-10 3.11e-10 845.11 211.80 34.64 -0.4 2045366 0.00e+00 3.19e-16 1.73e+01 1.14e-09 -1.71e-05 1.76e-03
2.162 0.0927 3.50e-10 3.00e-10 832.92 208.13 34.35 -0.4 2023650 0.00e+00 3.31e-16 1.82e+01 1.20e-09 -1.80e-05 1.74e-03
2.209 0.0948 3.37e-10 2.89e-10 821.11 204.47 34.07 -0.4 2002166 0.00e+00 3.43e-16 1.91e+01 1.26e-09 -1.89e-05 1.72e-03
2.256 0.0971 3.25e-10 2.78e-10 809.34 200.90 33.80 -0.4 1980909 0.00e+00 3.57e-16 2.01e+01 1.33e-09 -2.00e-05 1.70e-03
2.305 0.0994 3.13e-10 2.68e-10 797.61 197.43 33.54 -0.4 1959878 0.00e+00 3.72e-16 2.11e+01 1.41e-09 -2.11e-05 1.68e-03
2.355 0.1017 3.01e-10 2.58e-10 786.09 194.01 33.28 -0.4 1939070 0.00e+00 3.87e-16 2.23e+01 1.49e-09 -2.23e-05 1.66e-03
2.406 0.1041 2.90e-10 2.48e-10 774.89 190.61 33.03 -0.4 1918484 0.00e+00 4.03e-16 2.35e+01 1.57e-09 -2.36e-05 1.65e-03
2.458 0.1065 2.79e-10 2.39e-10 763.80 187.29 32.78 -0.4 1898116 0.00e+00 4.21e-16 2.48e+01 1.66e-09 -2.49e-05 1.63e-03
2.511 0.1090 2.69e-10 2.30e-10 752.71 184.06 32.54 -0.4 1877964 0.00e+00 4.40e-16 2.62e+01 1.76e-09 -2.64e-05 1.62e-03
2.565 0.1116 2.59e-10 2.22e-10 741.82 180.87 32.31 -0.4 1858026 0.00e+00 4.60e-16 2.77e+01 1.87e-09 -2.80e-05 1.60e-03
