# 1:lamst 2:lamfst 3:disk_data_1[0] 4:disk_data_1[1] 5:disk_data_1[0] 6:disk_data_1[1] 7:disk_data_3[0] 8:disk_data_3[1] 
4.605922041145108403e-04 1.995100842448326282e-10 8.407062447942663733e-03 4.588799594036466180e-12 3.962688638701478659e-03 2.112246788418576243e-09 9.154793957649664041e-03 5.333060861326253642e-11
4.880251583654433758e-04 1.719208162673424397e-10 8.633904452072098043e-03 4.736369784542833976e-12 4.102658105827190239e-03 2.159318501789301144e-09 9.393201599675660152e-03 5.623973626282877551e-11
5.170920242896760938e-04 1.479196681503166378e-10 8.866867178529464280e-03 4.877252732372877290e-12 4.247571552536898512e-03 2.202794649369943800e-09 9.637817814394761609e-03 5.918580231446691213e-11
5.478901179593945181e-04 1.270870594945287265e-10 9.106115778570421371e-03 5.010955453842910363e-12 4.397603609302721053e-03 2.242476370717968841e-09 9.888804284438263911e-03 6.215029222478522041e-11
5.805225516094901636e-04 1.090424535252967762e-10 9.351819859613733424e-03 5.137041259080014095e-12 4.552935074866947852e-03 2.278164680671657921e-09 1.014632690295002443e-02 6.511392168665060451e-11
6.150985788580504805e-04 9.344300092029457875e-11 9.604153605478964531e-03 5.255131071711340173e-12 4.713753134116724017e-03 2.309662061543263155e-09 1.041055588323592379e-02 6.805688495070854031e-11
6.517339604882426947e-04 7.998160654253167357e-11 9.863295899868238306e-03 5.364904019282301617e-12 4.880251583654433324e-03 2.336774945809586472e-09 1.068166587126884171e-02 7.095911450326638995e-11
6.905513520162330802e-04 6.838462470564020670e-11 1.012943045318005428e-02 5.466097341766076958e-12 5.052631065335679711e-03 2.359317015060676713e-09 1.095983606112340206e-02 7.380054632597251651e-11
7.316807143427199196e-04 5.840934397982760242e-11 1.040274593274466940e-02 5.558505672932279334e-12 5.231099308056257925e-03 2.377113188983797262e-09 1.124525031341694348e-02 7.656138492541792884e-11
7.752597488629464108e-04 4.984138487889080376e-11 1.068343609657360430e-02 5.641979754832256675e-12 5.415871378079470562e-03 2.390004133089538004e-09 1.153809727683480224e-02 7.922236246140982958e-11
8.214343584919430634e-04 4.249210253222339156e-11 1.097169993071802491e-02 5.716424649331210590e-12 5.607169938205458157e-03 2.397851078748461464e-09 1.183857051282045068e-02 8.176498660855600749e-11
8.703591361485165257e-04 3.619606097442635682e-11 1.126774179033331567e-02 5.781797512610745306e-12 5.805225516094895781e-03 2.400540726174457388e-09 1.214686862351268236e-02 8.417177223854523418e-11
9.221978823334331301e-04 3.080862525402566291e-11 1.157177154454998823e-02 5.838104999041355823e-12 6.010276782070381706e-03 2.397989991622750172e-09 1.246319538301463026e-02 8.642645258720179031e-11
9.771241535346502759e-04 2.620370144778507522e-11 1.188400472525344247e-02 5.885400359964165298e-12 6.222570836730231293e-03 2.390150364621865069e-09 1.278775987208115132e-02 8.851416624483265373e-11
1.035321843295662538e-03 2.227164218253307875e-11 1.220466267987822817e-02 5.923780300914203607e-12 6.442363508721370147e-03 2.377011658891096349e-09 1.312077661631384611e-02 9.042161705249287447e-11
1.096985797892384082e-03 1.891732578687970231e-11 1.253397272832503483e-02 5.953381657855256838e-12 6.669919663030121973e-03 2.358604970169532440e-09 1.346246572795479698e-02 9.213720477186153212e-11
1.162322468679853095e-03 1.605841016599991762e-11 1.287216832411160888e-02 5.974377949267489020e-12 6.905513520162331019e-03 2.335004693226113481e-09 1.381305305137300703e-02 9.365112519439420777e-11
1.231550603292826162e-03 1.362375743275477041e-11 1.321948921987199307e-02 5.986975856612010094e-12 7.149428986597577279e-03 2.306329496041325845e-09 1.417277031233945064e-02 9.495543913994339646e-11
1.304901978014402992e-03 1.155202182830335196e-11 1.357618163732121630e-02 5.991411680958573703e-12 7.401959996915637337e-03 2.272742198483036814e-09 1.454185527118963088e-02 9.604411054240382747e-11
1.382622173764656327e-03 9.790391182001388900e-12 1.394249844180609280e-02 5.987947818556386321e-12 7.663410868007454815e-03 2.234448552645883420e-09 1.492055187997466843e-02 9.691301450975913808e-11
1.464971398307286267e-03 8.293470810571760673e-12 1.431869932156580247e-02 5.976869292988192458e-12 7.934096665797491649e-03 2.191694969486414228e-09 1.530911044370499539e-02 9.755991686163211666e-11
1.552225357427047987e-03 7.022298109552244343e-12 1.470505097182927580e-02 5.958480376395047056e-12 8.214343584919422611e-03 2.144765278951977769e-09 1.570778778579302523e-02 9.798442717659901235e-11
1.644676177994664444e-03 5.943475960336556492e-12 1.510182728388005484e-02 5.933101327194694534e-12 8.504489341802676933e-03 2.093976646484182552e-09 1.611684741780436067e-02 9.818792781583940849e-11
1.742633386009650835e-03 5.028413316416016677e-12 1.550930953922244164e-02 5.901065266828067568e-12 8.804883581643463755e-03 2.039674796201884959e-09 1.653655971362954363e-02 9.817348172489136269e-11
1.846424942895544350e-03 4.252661827278197598e-12 1.592778660898679088e-02 5.862715213427071100e-12 9.115888299750818727e-03 1.982228709497931903e-09 1.696720208819159359e-02 9.794572205089583577e-11
